stock_code,ymd,"100.0 * (t1.close1 - t1.open1) / t1.open1"
600225,20121012,10.40724
600225,20131122,-2.51108
600225,20140213,-5.17007
600228,20131227,7.72496
600228,20140109,1.52616
600229,20110526,3.09829
600229,20120810,-2.25225
600230,20121015,1.61022
600233,20100610,-0.59524
600233,20110324,0.00000
600234,20140512,3.72727
600238,20121218,-0.51282
600239,20140806,-1.83486
600241,20120817,-3.16456
600246,20120228,-2.46914
600259,20100531,1.40741
600259,20100910,0.24863
600259,20101014,7.16387
600259,20110217,1.74617
600259,20130708,-1.74054
600260,20120409,-4.60733
600262,20140725,-3.53130
600272,20120807,-4.37457
600277,20130305,-2.03874
600278,20130821,0.75662
600278,20130828,8.06794
600279,20140506,-1.67926
600281,20101130,-2.17742
600291,20100730,-1.33891
600291,20130205,2.05993
600303,20140716,-10.28037
600310,20140806,-1.20301
600311,20101102,-5.91684
600316,20141209,-10.84195
600317,20140822,8.41751
600317,20141211,1.04348
600320,20130912,-4.36782
600322,20140326,-4.81013
600325,20141125,-1.92630
600326,20100205,-5.70292
600327,20130916,10.26119
600330,20101122,2.22363
600330,20131205,-4.55466
600338,20130508,6.92982
600339,20120207,-1.06383
600340,20140325,-0.07052
600343,20101019,0.84615
600345,20130402,5.31792
600348,20101012,7.52517
600348,20120111,1.24364
600352,20101201,2.55639
600355,20130301,2.71186
600359,20131011,2.82021
600361,20141020,-5.66572
600362,20101012,8.09889
600367,20100903,-2.73556
600367,20100914,-1.59468
600368,20100817,-1.47330
600368,20141105,-4.12698
600376,20150106,-3.22581
600379,20100319,0.30266
600386,20111101,-0.09625
600389,20120719,2.19033
600389,20121211,-1.34707
600390,20140128,4.03941
600391,20141209,-8.12227
600392,20130708,4.49504
600392,20130725,3.44828
600396,20140411,-3.57815
600397,20100713,3.06513
600397,20130814,1.33038
600399,20130116,5.76923
600399,20140715,-8.02512
600401,20130220,-1.22164
600405,20140228,4.76788
600408,20110407,-1.51707
600408,20140807,-3.04878
600410,20101027,-1.13379
600410,20140618,-4.31894
600415,20141201,-7.76965
600418,20140715,-2.96000
600419,20121016,-3.31950
600419,20130502,-2.18089
600422,20140212,4.11677
600429,20110527,-6.45161
600432,20140512,6.90691
600433,20121102,-0.92379
600435,20120913,10.22222
600435,20140730,-1.69265
600446,20130703,7.36152
600449,20120911,-1.89125
600460,20130117,8.28729
600460,20130521,2.51046
600466,20110420,6.32000
600470,20110909,-3.59532
600476,20140616,-1.35135
600476,20140825,-0.55193
600480,20140321,2.65283
600482,20101019,-0.66408
600483,20100224,-3.47305
600493,20110816,-4.26309
600495,20101210,-1.78197
600495,20101215,0.17986
600495,20120910,1.80807
600501,20140711,4.89130
600503,20120719,2.41449
600503,20130321,0.33278
600506,20140617,2.68336
600510,20121212,-1.86514
600510,20140703,-3.75204
600512,20121207,2.25080
600513,20100819,-0.69686
600513,20100824,3.69231
600513,20130109,-7.08812
600520,20141209,-6.15385
600528,20120427,-4.04722
600531,20140729,7.38095
600531,20141205,-3.11333
600536,20130730,-1.75631
600536,20130826,2.82564
600537,20130108,-2.78351
600537,20140828,-6.61861
600539,20110216,-0.07962
600539,20110623,7.22270
600545,20100205,1.09428
600545,20100525,-1.72786
600549,20120809,1.11828
600550,20140219,-2.88462
600552,20100120,1.14007
600552,20100129,0.90791
600555,20110318,-1.83333
600559,20100901,-2.84091
600560,20100414,2.21987
600567,20121228,7.06714
600572,20101117,-8.33333
600575,20101025,-1.87793
600583,20100722,0.87566
600592,20110215,0.26525
600595,20140724,2.94118
600599,20140904,5.39604
600603,20140312,13.02395
600606,20120413,-2.14876
600606,20120420,14.13210
600609,20121024,9.21348
600613,20110812,2.17566
600613,20120621,4.67153
600613,20120627,10.02882
600618,20110419,9.89505
600618,20110523,-7.03250
600620,20130327,-0.16611
